Name,Rank,Fire Department,Date of Death,Location on Memorial
Anthony Vielkind,Firefighter,Troy Fire Department,12/02/1910,  5 Bottom
Anthony Zito,Firefighter,Oceanside Fire Department,11/24/1967,  9 Bottom
Antonio C. Rodriques ,Firefighter ,Yonkers Fire Department ,07/31/2012,14 Top
Antonio J. Assante,Firefighter,New York City Fire Department,12/31/1952,14 Top
Anton Jiranek,Firefighter,New York City Fire Department,01/07/1911,  5 Bottom
Armand Santacroce,Firefighter,Newburgh Fire Department,02/23/1952,14 Top
Arnold B. Shepard,Firefighter,Binghamton Fire Department,02/05/1951,  7 Bottom
Arnold N. Hafner,Firefighter,New York City Fire Department,03/31/1955,14 Top
Arnold Seaman,Chief,Selden Fire Department,04/10/1969,  5 Top
Arthur A. Poole,Firefighter,Buffalo Fire Department,07/10/1878,20 Top
"Arthur Cassell, Jr.",Firefighter,Newton Falls Fire Department,11/05/1983,12 Top
Arthur C. Smith,Firefighter,New York City Fire Department,05/05/1951,14 Top
"Arthur C. Stickney, Sr. ",Assistant Chief ,Village of Malone Fire Department ,09/02/1942,  4 Top
Arthur E. Sink ,Firefighter ,Laurelton Fire Department ,08/27/1952,20 Bottom
Arthur G. Hanson,Firefighter,New York City Fire Department,04/04/1956,13 Top
Arthur J. Dillon,Chief,Binghamton Fire Department,03/07/1946,10 Bottom
Arthur J. Evans,Firefighter,New York City Fire Department,09/25/1852,18 Bottom
Arthur J. Rank,Firefighter,New York City Fire Department,01/31/1904,  3 Bottom
Arthur K. Tuck,Firefighter,New York City Fire Department,01/09/1993,10 Top
"Arthur Kuss, Jr.",Firefighter,Island Park Fire Department,11/03/1962,11 Top
Arthur P. Schorse,Firefighter,Southampton Fire Department,01/01/1930,  4 Top
Arthur T. Barry,Firefighter,New York City Fire Department,09/11/2001,  7 Top
Arvid Wallin,Firefighter,Beukendaal Fire Department,02/25/1956,18 Top
Asa F. Barnes,Firefighter,Ossining Fire Department,02/03/1957,13 Top
August Ihlenburg,Ex-Captain,Farmingdale Fire Department,12/28/1943,  6 Bottom
Augustine Halley,Lieutenant,New York City Fire Department,05/18/1956,13 Top
August L. Cowdrey,Firefighter,New York City Fire Department,07/19/1845,19 Bottom
"August Zunno, Jr.",Captain,Elmont Fire Department,10/01/1949,15 Top
Barend Geel,Battalion Chief,Albany Fire Department,02/09/1946,15 Top
Barry Brown,Captain,New York City Fire Department,07/22/1982,12 Top
Barry G. Miller ,Assistant Chief ,Bergen Fire Department ,09/23/2015,  6 Bottom
Bartholomew V. Foley,Firefighter,New York City Fire Department,01/19/1965,11 Bottom
Bejamin Suarez,Firefighter,New York City Fire Department,09/11/2001,  5 Bottom
Benjamin H. Fay,Firefighter,New York City Fire Department,11/02/1918,  3 Top
Benjamin Nelson,Firefighter,Haverstraw Fire Department,01/08/1906,16 Top
Benjamin Parcell,Lieutenant,New York City Fire Department,01/28/1941,17 Top
"Benjamin Proper, Jr.",Firefighter,Fayetteville Fire Department,09/20/1951,  7 Bottom
Bernard A. Tepper,Firefighter,New York City Fire Department,10/17/1966,11 Bottom
Bernard Bamer,Hoseman,Albany Fire Department,12/19/1892,14 Bottom
Bernard Blumenthal,Firefighter,New York City Fire Department,02/14/1958,13 Top
Bernard Delmar,Firefighter,New York City Fire Department,10/06/1951,14 Top
